Report Date,Region,% Difference in Total COVID Patients,Total COVID Patients
5/30/2020,Western,-28.571428571%,5
5/31/2020,Western,-40%,3
6/1/2020,Western,-100%,0
6/2/2020,Western,,0
6/3/2020,Western,,0
6/4/2020,Western,,0
6/5/2020,Western,,1
6/6/2020,Western,0%,1
6/7/2020,Western,0%,1
6/8/2020,Western,300%,4
6/9/2020,Western,0%,4
6/10/2020,Western,-25%,3
6/11/2020,Western,66.666666667%,5
6/12/2020,Western,-20%,4
6/13/2020,Western,25%,5
6/14/2020,Western,-20%,4
6/15/2020,Western,-50%,2
6/16/2020,Western,0%,2
6/17/2020,Western,-50%,1
6/18/2020,Western,0%,1
6/19/2020,Western,100%,2
6/20/2020,Western,200%,6
6/21/2020,Western,83.333333333%,11
6/22/2020,Western,9.090909091%,12
6/23/2020,Western,-16.666666667%,10
6/24/2020,Western,-10%,9
6/25/2020,Western,-11.111111111%,8
6/26/2020,Western,12.5%,9
6/27/2020,Western,-22.222222222%,7
6/28/2020,Western,14.285714286%,8
6/29/2020,Western,0%,8
6/30/2020,Western,12.5%,9
7/1/2020,Western,-22.222222222%,7
7/2/2020,Western,0%,7
7/3/2020,Western,-42.857142857%,4
7/4/2020,Western,0%,4
7/5/2020,Western,25%,5
7/6/2020,Western,40%,7
7/7/2020,Western,14.285714286%,8
7/8/2020,Western,-12.5%,7
7/9/2020,Western,0%,7
7/10/2020,Western,0%,7
7/11/2020,Western,14.285714286%,8
7/12/2020,Western,12.5%,9
7/13/2020,Western,22.222222222%,11
7/14/2020,Western,18.181818182%,13
7/15/2020,Western,-30.769230769%,9
7/16/2020,Western,0%,9
7/17/2020,Western,-22.222222222%,7
7/18/2020,Western,-14.285714286%,6
7/19/2020,Western,33.333333333%,8
7/20/2020,Western,-12.5%,7
7/21/2020,Western,-14.285714286%,6
7/22/2020,Western,66.666666667%,10
7/23/2020,Western,-40%,6
7/24/2020,Western,33.333333333%,8
7/25/2020,Western,-12.5%,7
7/26/2020,Western,0%,7
7/27/2020,Western,14.285714286%,8
7/28/2020,Western,112.5%,17
7/29/2020,Western,-5.882352941%,16
7/30/2020,Western,-50%,8
7/31/2020,Western,12.5%,9
8/1/2020,Western,22.222222222%,11
8/2/2020,Western,36.363636364%,15
8/3/2020,Western,-6.666666667%,14
8/4/2020,Western,-14.285714286%,12
8/5/2020,Western,0%,12
8/6/2020,Western,-8.333333333%,11
8/7/2020,Western,-54.545454545%,5
8/8/2020,Western,0%,5
8/9/2020,Western,0%,5
8/10/2020,Western,140%,12
8/11/2020,Western,-58.333333333%,5
8/12/2020,Western,140%,12
8/13/2020,Western,-50%,6
8/14/2020,Western,16.666666667%,7
8/15/2020,Western,14.285714286%,8
8/16/2020,Western,0%,8
8/17/2020,Western,50%,12
8/18/2020,Western,-16.666666667%,10
8/19/2020,Western,50%,15
8/20/2020,Western,6.666666667%,16
8/21/2020,Western,-56.25%,7
8/22/2020,Western,0%,7
8/23/2020,Western,-14.285714286%,6
8/24/2020,Western,16.666666667%,7
8/25/2020,Western,71.428571429%,12
8/26/2020,Western,-33.333333333%,8
8/27/2020,Western,-37.5%,5
8/28/2020,Western,-40%,3
8/29/2020,Western,-33.333333333%,2
8/30/2020,Western,100%,4
8/31/2020,Western,25%,5
9/1/2020,Western,20%,6
9/2/2020,Western,50%,9
9/3/2020,Western,0%,9
9/4/2020,Western,-33.333333333%,6
9/5/2020,Western,50%,9
9/6/2020,Western,-11.111111111%,8
9/7/2020,Western,-50%,4
9/8/2020,Western,75%,7
9/9/2020,Western,-28.571428571%,5
9/10/2020,Western,80%,9
9/11/2020,Western,-33.333333333%,6
9/12/2020,Western,16.666666667%,7
9/13/2020,Western,28.571428571%,9
9/14/2020,Western,22.222222222%,11
9/15/2020,Western,9.090909091%,12
9/16/2020,Western,-41.666666667%,7
9/17/2020,Western,28.571428571%,9
9/18/2020,Western,-22.222222222%,7
9/19/2020,Western,171.428571429%,19
9/20/2020,Western,5.263157895%,20
9/21/2020,Western,-45%,11
9/22/2020,Western,72.727272727%,19
9/23/2020,Western,-10.526315789%,17
9/24/2020,Western,11.764705882%,19
3/30/2020,Northeast,,
3/31/2020,Northeast,,0
4/1/2020,Northeast,,5
4/2/2020,Northeast,0%,5
4/3/2020,Northeast,0%,5
4/4/2020,Northeast,60%,8
4/5/2020,Northeast,25%,10
4/6/2020,Northeast,30%,13
4/7/2020,Northeast,0%,13
4/8/2020,Northeast,46.153846154%,19
4/9/2020,Northeast,5.263157895%,20
4/10/2020,Northeast,0%,20
4/11/2020,Northeast,5%,21
4/12/2020,Northeast,0%,21
4/13/2020,Northeast,4.761904762%,22
4/14/2020,Northeast,-22.727272727%,17
4/15/2020,Northeast,-5.882352941%,16
4/16/2020,Northeast,-6.25%,15
4/17/2020,Northeast,20%,18
4/18/2020,Northeast,-5.555555556%,17
4/19/2020,Northeast,0%,17
4/20/2020,Northeast,11.764705882%,19
4/21/2020,Northeast,-5.263157895%,18
4/22/2020,Northeast,5.555555556%,19
4/23/2020,Northeast,5.263157895%,20
4/24/2020,Northeast,25%,25
4/25/2020,Northeast,0%,25
4/26/2020,Northeast,24%,31
4/27/2020,Northeast,-19.354838710%,25
4/28/2020,Northeast,44%,36
4/29/2020,Northeast,5.555555556%,38
4/30/2020,Northeast,50%,57
5/1/2020,Northeast,-29.824561404%,40
5/2/2020,Northeast,12.5%,45
5/3/2020,Northeast,-6.666666667%,42
5/4/2020,Northeast,7.142857143%,45
5/5/2020,Northeast,-2.222222222%,44
5/6/2020,Northeast,-2.272727273%,43
5/7/2020,Northeast,11.627906977%,48
5/8/2020,Northeast,-14.583333333%,41
5/9/2020,Northeast,0%,41
5/10/2020,Northeast,4.878048780%,43
5/11/2020,Northeast,-6.976744186%,40
5/12/2020,Northeast,5%,42
5/13/2020,Northeast,-2.380952381%,41
5/14/2020,Northeast,12.195121951%,46
5/15/2020,Northeast,-8.695652174%,42
5/16/2020,Northeast,-11.904761905%,37
5/17/2020,Northeast,-10.810810811%,33
5/18/2020,Northeast,-9.090909091%,30
5/19/2020,Northeast,-3.333333333%,29
5/20/2020,Northeast,-6.896551724%,27
5/21/2020,Northeast,3.703703704%,28
5/22/2020,Northeast,3.571428571%,29
5/23/2020,Northeast,-10.344827586%,26
5/24/2020,Northeast,-7.692307692%,24
5/25/2020,Northeast,12.5%,27
5/26/2020,Northeast,11.111111111%,30
5/27/2020,Northeast,-10%,27
5/28/2020,Northeast,0%,27
5/29/2020,Northeast,-3.703703704%,26
5/30/2020,Northeast,-11.538461538%,23
5/31/2020,Northeast,-21.739130435%,18
6/1/2020,Northeast,0%,18
6/2/2020,Northeast,0%,18
6/3/2020,Northeast,-22.222222222%,14
6/4/2020,Northeast,-14.285714286%,12
6/5/2020,Northeast,8.333333333%,13
6/6/2020,Northeast,-7.692307692%,12
6/7/2020,Northeast,-16.666666667%,10
6/8/2020,Northeast,20%,12
6/9/2020,Northeast,25%,15
6/10/2020,Northeast,6.666666667%,16
6/11/2020,Northeast,18.75%,19
6/12/2020,Northeast,-21.052631579%,15
6/13/2020,Northeast,-20%,12
6/14/2020,Northeast,0%,12
6/15/2020,Northeast,16.666666667%,14
6/16/2020,Northeast,7.142857143%,15
6/17/2020,Northeast,-20%,12
6/18/2020,Northeast,8.333333333%,13
6/19/2020,Northeast,7.692307692%,14
6/20/2020,Northeast,7.142857143%,15
6/21/2020,Northeast,-6.666666667%,14
6/22/2020,Northeast,-7.142857143%,13
6/23/2020,Northeast,15.384615385%,15
6/24/2020,Northeast,-13.333333333%,13
6/25/2020,Northeast,15.384615385%,15
6/26/2020,Northeast,6.666666667%,16
6/27/2020,Northeast,-18.75%,13
6/28/2020,Northeast,0%,13
6/29/2020,Northeast,7.692307692%,14
6/30/2020,Northeast,14.285714286%,16
7/1/2020,Northeast,6.25%,17
7/2/2020,Northeast,0%,17
7/3/2020,Northeast,-5.882352941%,16
7/4/2020,Northeast,-6.25%,15
7/5/2020,Northeast,6.666666667%,16
7/6/2020,Northeast,6.25%,17
7/7/2020,Northeast,0%,17
7/8/2020,Northeast,11.764705882%,19
7/9/2020,Northeast,0%,19
7/10/2020,Northeast,0%,19
7/11/2020,Northeast,10.526315789%,21
7/12/2020,Northeast,-9.523809524%,19
7/13/2020,Northeast,-5.263157895%,18
7/14/2020,Northeast,44.444444444%,26
7/15/2020,Northeast,23.076923077%,32
7/16/2020,Northeast,-3.125%,31
7/17/2020,Northeast,3.225806452%,32
7/18/2020,Northeast,-15.625%,27
7/19/2020,Northeast,14.814814815%,31
7/20/2020,Northeast,22.580645161%,38
7/21/2020,Northeast,-10.526315789%,34
7/22/2020,Northeast,-55.882352941%,15
7/23/2020,Northeast,33.333333333%,20
7/24/2020,Northeast,25%,25
7/25/2020,Northeast,-12%,22
7/26/2020,Northeast,-18.181818182%,18
7/27/2020,Northeast,27.777777778%,23
7/28/2020,Northeast,13.043478261%,26
7/29/2020,Northeast,19.230769231%,31
7/30/2020,Northeast,9.677419355%,34
7/31/2020,Northeast,-2.941176471%,33
8/1/2020,Northeast,-30.303030303%,23
8/2/2020,Northeast,34.782608696%,31
8/3/2020,Northeast,9.677419355%,34
8/4/2020,Northeast,-2.941176471%,33
8/5/2020,Northeast,0%,33
8/6/2020,Northeast,0%,33
8/7/2020,Northeast,3.030303030%,34
8/8/2020,Northeast,-5.882352941%,32
8/9/2020,Northeast,0%,32
8/10/2020,Northeast,18.75%,38
8/11/2020,Northeast,-7.894736842%,35
8/12/2020,Northeast,-11.428571429%,31
8/13/2020,Northeast,-16.129032258%,26
8/14/2020,Northeast,-11.538461538%,23
8/15/2020,Northeast,0%,23
8/16/2020,Northeast,8.695652174%,25
8/17/2020,Northeast,32%,33
8/18/2020,Northeast,-3.030303030%,32
8/19/2020,Northeast,18.75%,38
8/20/2020,Northeast,7.894736842%,41
8/21/2020,Northeast,-7.317073171%,38
8/22/2020,Northeast,-13.157894737%,33
8/23/2020,Northeast,18.181818182%,39
8/24/2020,Northeast,-25.641025641%,29
8/25/2020,Northeast,-13.793103448%,25
8/26/2020,Northeast,0%,25
8/27/2020,Northeast,8%,27
8/28/2020,Northeast,-7.407407407%,25
8/29/2020,Northeast,0%,25
8/30/2020,Northeast,-20%,20
8/31/2020,Northeast,10%,22
9/1/2020,Northeast,31.818181818%,29
9/2/2020,Northeast,-3.448275862%,28
9/3/2020,Northeast,3.571428571%,29
9/4/2020,Northeast,-3.448275862%,28
9/5/2020,Northeast,3.571428571%,29
9/6/2020,Northeast,6.896551724%,31
9/7/2020,Northeast,16.129032258%,36
9/8/2020,Northeast,-5.555555556%,34
9/9/2020,Northeast,5.882352941%,36
9/10/2020,Northeast,-8.333333333%,33
9/11/2020,Northeast,-12.121212121%,29
9/12/2020,Northeast,17.241379310%,34
9/13/2020,Northeast,2.941176471%,35
9/14/2020,Northeast,0%,35
9/15/2020,Northeast,25.714285714%,44
9/16/2020,Northeast,-20.454545455%,35
9/17/2020,Northeast,31.428571429%,46
9/18/2020,Northeast,10.869565217%,51
9/19/2020,Northeast,15.686274510%,59
9/20/2020,Northeast,6.779661017%,63
9/21/2020,Northeast,9.523809524%,69
9/22/2020,Northeast,-4.347826087%,66
9/23/2020,Northeast,12.121212121%,74
9/24/2020,Northeast,9.459459459%,81
3/30/2020,North Central,,
3/31/2020,North Central,,1
4/1/2020,North Central,100%,2
4/2/2020,North Central,100%,4
4/3/2020,North Central,-25%,3
4/4/2020,North Central,0%,3
4/5/2020,North Central,33.333333333%,4
4/6/2020,North Central,0%,4
4/7/2020,North Central,0%,4
4/8/2020,North Central,0%,4
4/9/2020,North Central,0%,4
4/10/2020,North Central,0%,4
4/11/2020,North Central,-25%,3
4/12/2020,North Central,0%,3
4/13/2020,North Central,-33.333333333%,2
4/14/2020,North Central,0%,2
4/15/2020,North Central,0%,2
4/16/2020,North Central,50%,3
4/17/2020,North Central,-33.333333333%,2
4/18/2020,North Central,0%,2
4/19/2020,North Central,0%,2
4/20/2020,North Central,0%,2
4/21/2020,North Central,0%,2
4/22/2020,North Central,50%,3
4/23/2020,North Central,0%,3
4/24/2020,North Central,33.333333333%,4
4/25/2020,North Central,0%,4
4/26/2020,North Central,0%,4
4/27/2020,North Central,-50%,2
4/28/2020,North Central,0%,2
4/29/2020,North Central,-50%,1
4/30/2020,North Central,-100%,0
5/1/2020,North Central,,0
5/2/2020,North Central,,0
5/3/2020,North Central,,0
5/4/2020,North Central,,0
5/5/2020,North Central,,0
5/6/2020,North Central,,0
5/7/2020,North Central,,0
5/8/2020,North Central,,0
5/9/2020,North Central,,0
5/10/2020,North Central,,0
5/11/2020,North Central,,1
5/12/2020,North Central,0%,1
5/13/2020,North Central,100%,2
5/14/2020,North Central,0%,2
5/15/2020,North Central,0%,2
5/16/2020,North Central,0%,2
5/17/2020,North Central,0%,2
5/18/2020,North Central,0%,2
5/19/2020,North Central,50%,3
5/20/2020,North Central,0%,3
5/21/2020,North Central,-33.333333333%,2
5/22/2020,North Central,100%,4
5/23/2020,North Central,-25%,3
5/24/2020,North Central,0%,3
5/25/2020,North Central,0%,3
5/26/2020,North Central,33.333333333%,4
5/27/2020,North Central,0%,4
5/28/2020,North Central,25%,5
5/29/2020,North Central,60%,8
5/30/2020,North Central,-50%,4
5/31/2020,North Central,0%,4
6/1/2020,North Central,-25%,3
6/2/2020,North Central,33.333333333%,4
6/3/2020,North Central,0%,4
6/4/2020,North Central,0%,4
6/5/2020,North Central,25%,5
6/6/2020,North Central,-40%,3
6/7/2020,North Central,0%,3
6/8/2020,North Central,33.333333333%,4
6/9/2020,North Central,25%,5
6/10/2020,North Central,-40%,3
6/11/2020,North Central,0%,3
6/12/2020,North Central,0%,3
6/13/2020,North Central,0%,3
6/14/2020,North Central,33.333333333%,4
6/15/2020,North Central,25%,5
6/16/2020,North Central,-40%,3
6/17/2020,North Central,66.666666667%,5
6/18/2020,North Central,20%,6
6/19/2020,North Central,-33.333333333%,4
6/20/2020,North Central,0%,4
6/21/2020,North Central,-25%,3
6/22/2020,North Central,266.666666667%,11
6/23/2020,North Central,9.090909091%,12
6/24/2020,North Central,0%,12
6/25/2020,North Central,0%,12
6/26/2020,North Central,-8.333333333%,11
6/27/2020,North Central,-9.090909091%,10
6/28/2020,North Central,10%,11
6/29/2020,North Central,18.181818182%,13
6/30/2020,North Central,7.692307692%,14
7/1/2020,North Central,7.142857143%,15
7/2/2020,North Central,0%,15
7/3/2020,North Central,0%,15
7/4/2020,North Central,-13.333333333%,13
7/5/2020,North Central,7.692307692%,14
7/6/2020,North Central,-7.142857143%,13
7/7/2020,North Central,38.461538462%,18
7/8/2020,North Central,-16.666666667%,15
7/9/2020,North Central,20%,18
7/10/2020,North Central,-50%,9
7/11/2020,North Central,11.111111111%,10
7/12/2020,North Central,-10%,9
7/13/2020,North Central,-11.111111111%,8
7/14/2020,North Central,12.5%,9
7/15/2020,North Central,11.111111111%,10
7/16/2020,North Central,0%,10
7/17/2020,North Central,10%,11
7/18/2020,North Central,-9.090909091%,10
7/19/2020,North Central,-20%,8
7/20/2020,North Central,12.5%,9
7/21/2020,North Central,-22.222222222%,7
7/22/2020,North Central,28.571428571%,9
7/23/2020,North Central,33.333333333%,12
7/24/2020,North Central,-25%,9
7/25/2020,North Central,55.555555556%,14
7/26/2020,North Central,21.428571429%,17
7/27/2020,North Central,-35.294117647%,11
7/28/2020,North Central,54.545454545%,17
7/29/2020,North Central,-11.764705882%,15
7/30/2020,North Central,0%,15
7/31/2020,North Central,-40%,9
8/1/2020,North Central,77.777777778%,16
8/2/2020,North Central,-6.25%,15
8/3/2020,North Central,46.666666667%,22
8/4/2020,North Central,-31.818181818%,15
8/5/2020,North Central,33.333333333%,20
8/6/2020,North Central,25%,25
8/7/2020,North Central,16%,29
8/8/2020,North Central,-3.448275862%,28
8/9/2020,North Central,-3.571428571%,27
8/10/2020,North Central,14.814814815%,31
8/11/2020,North Central,-48.387096774%,16
8/12/2020,North Central,37.5%,22
8/13/2020,North Central,-4.545454545%,21
8/14/2020,North Central,14.285714286%,24
8/15/2020,North Central,-8.333333333%,22
8/16/2020,North Central,4.545454545%,23
8/17/2020,North Central,17.391304348%,27
8/18/2020,North Central,-7.407407407%,25
8/19/2020,North Central,4%,26
8/20/2020,North Central,-7.692307692%,24
8/21/2020,North Central,-4.166666667%,23
8/22/2020,North Central,-4.347826087%,22
8/23/2020,North Central,-13.636363636%,19
8/24/2020,North Central,-10.526315789%,17
8/25/2020,North Central,0%,17
8/26/2020,North Central,11.764705882%,19
8/27/2020,North Central,0%,19
8/28/2020,North Central,26.315789474%,24
8/29/2020,North Central,-4.166666667%,23
8/30/2020,North Central,-8.695652174%,21
8/31/2020,North Central,19.047619048%,25
9/1/2020,North Central,0%,25
9/2/2020,North Central,-24%,19
9/3/2020,North Central,15.789473684%,22
9/4/2020,North Central,13.636363636%,25
9/5/2020,North Central,4%,26
9/6/2020,North Central,11.538461538%,29
9/7/2020,North Central,6.896551724%,31
9/8/2020,North Central,-12.903225806%,27
9/9/2020,North Central,14.814814815%,31
9/10/2020,North Central,-19.354838710%,25
9/11/2020,North Central,12%,28
9/12/2020,North Central,-39.285714286%,17
9/13/2020,North Central,35.294117647%,23
9/14/2020,North Central,13.043478261%,26
9/15/2020,North Central,19.230769231%,31
9/16/2020,North Central,3.225806452%,32
9/17/2020,North Central,3.125%,33
9/18/2020,North Central,9.090909091%,36
9/19/2020,North Central,25%,45
9/20/2020,North Central,15.555555556%,52
9/21/2020,North Central,13.461538462%,59
9/22/2020,North Central,8.474576271%,64
9/23/2020,North Central,10.9375%,71
9/24/2020,North Central,0%,71
3/30/2020,Northwest,,
3/31/2020,Northwest,,0
4/1/2020,Northwest,,0
4/2/2020,Northwest,,0
4/3/2020,Northwest,,0
4/4/2020,Northwest,,0
4/5/2020,Northwest,,0
4/6/2020,Northwest,,0
4/7/2020,Northwest,,1
4/8/2020,Northwest,100%,2
4/9/2020,Northwest,0%,2
4/10/2020,Northwest,50%,3
4/11/2020,Northwest,66.666666667%,5
4/12/2020,Northwest,-20%,4
4/13/2020,Northwest,-25%,3
4/14/2020,Northwest,0%,3
4/15/2020,Northwest,0%,3
4/16/2020,Northwest,0%,3
4/17/2020,Northwest,0%,3
4/18/2020,Northwest,33.333333333%,4
4/19/2020,Northwest,0%,4
4/20/2020,Northwest,0%,4
4/21/2020,Northwest,-25%,3
4/22/2020,Northwest,33.333333333%,4
4/23/2020,Northwest,0%,4
4/24/2020,Northwest,25%,5
4/25/2020,Northwest,0%,5
4/26/2020,Northwest,0%,5
4/27/2020,Northwest,0%,5
4/28/2020,Northwest,-20%,4
4/29/2020,Northwest,25%,5
4/30/2020,Northwest,0%,5
5/1/2020,Northwest,0%,5
5/2/2020,Northwest,0%,5
5/3/2020,Northwest,40%,7
5/4/2020,Northwest,-71.428571429%,2
5/5/2020,Northwest,50%,3
5/6/2020,Northwest,-33.333333333%,2
5/7/2020,Northwest,250%,7
5/8/2020,Northwest,-28.571428571%,5
5/9/2020,Northwest,0%,5
5/10/2020,Northwest,0%,5
5/11/2020,Northwest,20%,6
5/12/2020,Northwest,-16.666666667%,5
5/13/2020,Northwest,0%,5
5/14/2020,Northwest,0%,5
5/15/2020,Northwest,0%,5
5/16/2020,Northwest,-20%,4
5/17/2020,Northwest,25%,5
5/18/2020,Northwest,20%,6
5/19/2020,Northwest,33.333333333%,8
5/20/2020,Northwest,0%,8
5/21/2020,Northwest,-12.5%,7
5/22/2020,Northwest,0%,7
5/23/2020,Northwest,28.571428571%,9
5/24/2020,Northwest,11.111111111%,10
5/25/2020,Northwest,10%,11
5/26/2020,Northwest,18.181818182%,13
5/27/2020,Northwest,-30.769230769%,9
5/28/2020,Northwest,0%,9
5/29/2020,Northwest,0%,9
5/30/2020,Northwest,33.333333333%,12
5/31/2020,Northwest,0%,12
6/1/2020,Northwest,-8.333333333%,11
6/2/2020,Northwest,0%,11
6/3/2020,Northwest,-9.090909091%,10
6/4/2020,Northwest,10%,11
6/5/2020,Northwest,0%,11
6/6/2020,Northwest,9.090909091%,12
6/7/2020,Northwest,-8.333333333%,11
6/8/2020,Northwest,-9.090909091%,10
6/9/2020,Northwest,10%,11
6/10/2020,Northwest,-9.090909091%,10
6/11/2020,Northwest,-20%,8
6/12/2020,Northwest,25%,10
6/13/2020,Northwest,-10%,9
6/14/2020,Northwest,-11.111111111%,8
6/15/2020,Northwest,0%,8
6/16/2020,Northwest,0%,8
6/17/2020,Northwest,12.5%,9
6/18/2020,Northwest,-22.222222222%,7
6/19/2020,Northwest,0%,7
6/20/2020,Northwest,-14.285714286%,6
6/21/2020,Northwest,0%,6
6/22/2020,Northwest,-33.333333333%,4
6/23/2020,Northwest,-25%,3
6/24/2020,Northwest,0%,3
6/25/2020,Northwest,33.333333333%,4
6/26/2020,Northwest,25%,5
6/27/2020,Northwest,20%,6
6/28/2020,Northwest,-16.666666667%,5
6/29/2020,Northwest,-20%,4
6/30/2020,Northwest,-25%,3
7/1/2020,Northwest,0%,3
7/2/2020,Northwest,33.333333333%,4
7/3/2020,Northwest,25%,5
7/4/2020,Northwest,40%,7
7/5/2020,Northwest,28.571428571%,9
7/6/2020,Northwest,-11.111111111%,8
7/7/2020,Northwest,25%,10
7/8/2020,Northwest,30%,13
7/9/2020,Northwest,7.692307692%,14
7/10/2020,Northwest,7.142857143%,15
7/11/2020,Northwest,-20%,12
7/12/2020,Northwest,0%,12
7/13/2020,Northwest,-8.333333333%,11
7/14/2020,Northwest,0%,11
7/15/2020,Northwest,-9.090909091%,10
7/16/2020,Northwest,20%,12
7/17/2020,Northwest,8.333333333%,13
7/18/2020,Northwest,-38.461538462%,8
7/19/2020,Northwest,-25%,6
7/20/2020,Northwest,16.666666667%,7
7/21/2020,Northwest,14.285714286%,8
7/22/2020,Northwest,-25%,6
7/23/2020,Northwest,133.333333333%,14
7/24/2020,Northwest,7.142857143%,15
7/25/2020,Northwest,-6.666666667%,14
7/26/2020,Northwest,-7.142857143%,13
7/27/2020,Northwest,-23.076923077%,10
7/28/2020,Northwest,60%,16
7/29/2020,Northwest,37.5%,22
7/30/2020,Northwest,-45.454545455%,12
7/31/2020,Northwest,25%,15
8/1/2020,Northwest,53.333333333%,23
8/2/2020,Northwest,-13.043478261%,20
8/3/2020,Northwest,20%,24
8/4/2020,Northwest,-25%,18
8/5/2020,Northwest,0%,18
8/6/2020,Northwest,-33.333333333%,12
8/7/2020,Northwest,50%,18
8/8/2020,Northwest,-38.888888889%,11
8/9/2020,Northwest,45.454545455%,16
8/10/2020,Northwest,-12.5%,14
8/11/2020,Northwest,0%,14
8/12/2020,Northwest,7.142857143%,15
8/13/2020,Northwest,-33.333333333%,10
8/14/2020,Northwest,0%,10
8/15/2020,Northwest,-30%,7
8/16/2020,Northwest,28.571428571%,9
8/17/2020,Northwest,-11.111111111%,8
8/18/2020,Northwest,25%,10
8/19/2020,Northwest,10%,11
8/20/2020,Northwest,0%,11
8/21/2020,Northwest,-9.090909091%,10
8/22/2020,Northwest,90%,19
8/23/2020,Northwest,-52.631578947%,9
8/24/2020,Northwest,22.222222222%,11
8/25/2020,Northwest,18.181818182%,13
8/26/2020,Northwest,-15.384615385%,11
8/27/2020,Northwest,0%,11
8/28/2020,Northwest,18.181818182%,13
8/29/2020,Northwest,-15.384615385%,11
8/30/2020,Northwest,27.272727273%,14
8/31/2020,Northwest,0%,14
9/1/2020,Northwest,-7.142857143%,13
9/2/2020,Northwest,23.076923077%,16
9/3/2020,Northwest,-18.75%,13
9/4/2020,Northwest,-23.076923077%,10
9/5/2020,Northwest,0%,10
9/6/2020,Northwest,20%,12
9/7/2020,Northwest,-25%,9
9/8/2020,Northwest,-11.111111111%,8
9/9/2020,Northwest,-12.5%,7
9/10/2020,Northwest,0%,7
9/11/2020,Northwest,0%,7
9/12/2020,Northwest,14.285714286%,8
9/13/2020,Northwest,-12.5%,7
9/14/2020,Northwest,128.571428571%,16
9/15/2020,Northwest,-25%,12
9/16/2020,Northwest,33.333333333%,16
9/17/2020,Northwest,-18.75%,13
9/18/2020,Northwest,23.076923077%,16
9/19/2020,Northwest,0%,16
9/20/2020,Northwest,-12.5%,14
9/21/2020,Northwest,42.857142857%,20
9/22/2020,Northwest,20%,24
9/23/2020,Northwest,-4.166666667%,23
9/24/2020,Northwest,17.391304348%,27
