Day of Epi Dt,Measure Names,Prelim end date,Prelim start date,County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
19-Dec-20,Probable cases,12/20/2020,12/6/2020,Wisconsin,9589,46,61,46,107
18-Dec-20,Probable cases,12/19/2020,12/5/2020,Wisconsin,9589,145,754,145,899
17-Dec-20,Probable cases,12/18/2020,12/4/2020,Wisconsin,9589,280,1294,280,1574
16-Dec-20,Probable cases,12/17/2020,12/3/2020,Wisconsin,9589,347,1682,347,2029
15-Dec-20,Probable cases,12/16/2020,12/2/2020,Wisconsin,9589,423,2064,423,2487
14-Dec-20,Probable cases,12/15/2020,12/1/2020,Wisconsin,9589,588,2703,588,3291
13-Dec-20,Probable cases,12/14/2020,11/30/2020,Wisconsin,9589,277,1529,277,1806
12-Dec-20,Probable cases,12/13/2020,11/29/2020,Wisconsin,9589,270,1991,270,2261
11-Dec-20,Probable cases,12/12/2020,11/28/2020,Wisconsin,9589,460,2752,460,3212
10-Dec-20,Probable cases,12/11/2020,11/27/2020,Wisconsin,9589,460,2615,460,3075
9-Dec-20,Probable cases,12/10/2020,11/26/2020,Wisconsin,9589,486,2958,486,3444
8-Dec-20,Probable cases,12/9/2020,11/25/2020,Wisconsin,9589,503,3210,503,3713
7-Dec-20,Probable cases,12/8/2020,11/24/2020,Wisconsin,9589,640,3961,640,4601
6-Dec-20,Probable cases,12/7/2020,11/23/2020,Wisconsin,9589,295,2105,295,2400
5-Dec-20,Probable cases,12/6/2020,11/22/2020,Wisconsin,9589,295,2362,295,2657
4-Dec-20,Probable cases,12/5/2020,11/21/2020,Wisconsin,9589,510,3243,510,3753
3-Dec-20,Probable cases,12/4/2020,11/20/2020,Wisconsin,9589,623,3378,623,4001
2-Dec-20,Probable cases,12/3/2020,11/19/2020,Wisconsin,9589,632,3981,632,4613
1-Dec-20,Probable cases,12/2/2020,11/18/2020,Wisconsin,9589,629,4386,629,5015
30-Nov-20,Probable cases,12/1/2020,11/17/2020,Wisconsin,9589,731,5528,731,6259
29-Nov-20,Probable cases,11/30/2020,11/16/2020,Wisconsin,9589,332,2938,332,3270
28-Nov-20,Probable cases,11/29/2020,11/15/2020,Wisconsin,9589,264,2960,264,3224
27-Nov-20,Probable cases,11/28/2020,11/14/2020,Wisconsin,9589,339,3772,339,4111
26-Nov-20,Probable cases,11/27/2020,11/13/2020,Wisconsin,9589,212,1914,212,2126
25-Nov-20,Probable cases,11/26/2020,11/12/2020,Wisconsin,9589,472,3983,472,4455
24-Nov-20,Probable cases,11/25/2020,11/11/2020,Wisconsin,9589,469,4262,469,4731
23-Nov-20,Probable cases,11/24/2020,11/10/2020,Wisconsin,9589,559,4673,559,5232
22-Nov-20,Probable cases,11/23/2020,11/9/2020,Wisconsin,9589,235,2424,235,2659
21-Nov-20,Probable cases,11/22/2020,11/8/2020,Wisconsin,9589,307,2896,307,3203
20-Nov-20,Probable cases,11/21/2020,11/7/2020,Wisconsin,9589,565,4099,565,4664
19-Nov-20,Probable cases,11/20/2020,11/6/2020,Wisconsin,9589,546,4422,546,4968
18-Nov-20,Probable cases,11/19/2020,11/5/2020,Wisconsin,9589,595,5082,595,5677
17-Nov-20,Probable cases,11/18/2020,11/4/2020,Wisconsin,9589,635,5538,635,6173
16-Nov-20,Probable cases,11/17/2020,11/3/2020,Wisconsin,9589,741,6389,741,7130
15-Nov-20,Probable cases,11/16/2020,11/2/2020,Wisconsin,9589,312,3315,312,3627
14-Nov-20,Probable cases,11/15/2020,11/1/2020,Wisconsin,9589,338,3823,338,4161
13-Nov-20,Probable cases,11/14/2020,10/31/2020,Wisconsin,9589,644,5698,644,6342
12-Nov-20,Probable cases,11/13/2020,10/30/2020,Wisconsin,9589,699,6560,699,7259
11-Nov-20,Probable cases,11/12/2020,10/29/2020,Wisconsin,9589,745,6083,745,6828
10-Nov-20,Probable cases,11/11/2020,10/28/2020,Wisconsin,9589,519,7806,519,8325
9-Nov-20,Probable cases,11/10/2020,10/27/2020,Wisconsin,9589,634,8955,634,9589
8-Nov-20,Probable cases,11/9/2020,10/26/2020,Wisconsin,9589,281,4412,281,4693
7-Nov-20,Probable cases,11/8/2020,10/25/2020,Wisconsin,9589,294,5131,294,5425
6-Nov-20,Probable cases,11/7/2020,10/24/2020,Wisconsin,9589,411,7400,411,7811
5-Nov-20,Probable cases,11/6/2020,10/23/2020,Wisconsin,9589,420,7247,420,7667
4-Nov-20,Probable cases,11/5/2020,10/22/2020,Wisconsin,9589,379,7737,379,8116
3-Nov-20,Probable cases,11/4/2020,10/21/2020,Wisconsin,9589,385,7833,385,8218
2-Nov-20,Probable cases,11/3/2020,10/20/2020,Wisconsin,9589,417,8220,417,8637
1-Nov-20,Probable cases,11/2/2020,10/19/2020,Wisconsin,9589,251,4327,251,4578
31-Oct-20,Probable cases,11/1/2020,10/18/2020,Wisconsin,9589,174,4139,174,4313
30-Oct-20,Probable cases,10/31/2020,10/17/2020,Wisconsin,9589,296,5575,296,5871
29-Oct-20,Probable cases,10/30/2020,10/16/2020,Wisconsin,9589,312,5527,312,5839
28-Oct-20,Probable cases,10/29/2020,10/15/2020,Wisconsin,9589,259,5963,259,6222
27-Oct-20,Probable cases,10/28/2020,10/14/2020,Wisconsin,9589,304,5907,304,6211
26-Oct-20,Probable cases,10/27/2020,10/13/2020,Wisconsin,9589,306,6044,306,6350
25-Oct-20,Probable cases,10/26/2020,10/12/2020,Wisconsin,9589,199,3005,199,3204
24-Oct-20,Probable cases,10/25/2020,10/11/2020,Wisconsin,9589,180,3221,180,3401
23-Oct-20,Probable cases,10/24/2020,10/10/2020,Wisconsin,9589,281,4391,281,4672
22-Oct-20,Probable cases,10/23/2020,10/9/2020,Wisconsin,9589,289,4399,289,4688
21-Oct-20,Probable cases,10/22/2020,10/8/2020,Wisconsin,9589,242,4712,242,4954
20-Oct-20,Probable cases,10/21/2020,10/7/2020,Wisconsin,9589,215,4610,215,4825
19-Oct-20,Probable cases,10/20/2020,10/6/2020,Wisconsin,9589,247,4795,247,5042
18-Oct-20,Probable cases,10/19/2020,10/5/2020,Wisconsin,9589,141,2404,141,2545
17-Oct-20,Probable cases,10/18/2020,10/4/2020,Wisconsin,9589,128,2463,128,2591
16-Oct-20,Probable cases,10/17/2020,10/3/2020,Wisconsin,9589,189,3523,189,3712
15-Oct-20,Probable cases,10/16/2020,10/2/2020,Wisconsin,9589,261,3615,261,3876
14-Oct-20,Probable cases,10/15/2020,10/1/2020,Wisconsin,9589,222,3718,222,3940
13-Oct-20,Probable cases,10/14/2020,9/30/2020,Wisconsin,9589,212,3707,212,3919
12-Oct-20,Probable cases,10/13/2020,9/29/2020,Wisconsin,9589,247,4099,247,4346
11-Oct-20,Probable cases,10/12/2020,9/28/2020,Wisconsin,9589,154,2235,154,2389
10-Oct-20,Probable cases,10/11/2020,9/27/2020,Wisconsin,9589,106,2408,106,2514
9-Oct-20,Probable cases,10/10/2020,9/26/2020,Wisconsin,9589,203,3278,203,3481
8-Oct-20,Probable cases,10/9/2020,9/25/2020,Wisconsin,9589,179,3347,179,3526
7-Oct-20,Probable cases,10/8/2020,9/24/2020,Wisconsin,9589,187,3554,187,3741
6-Oct-20,Probable cases,10/7/2020,9/23/2020,Wisconsin,9589,167,3599,167,3766
5-Oct-20,Probable cases,10/6/2020,9/22/2020,Wisconsin,9589,173,3517,173,3690
4-Oct-20,Probable cases,10/5/2020,9/21/2020,Wisconsin,9589,83,1852,83,1935
3-Oct-20,Probable cases,10/4/2020,9/20/2020,Wisconsin,9589,76,2012,76,2088
2-Oct-20,Probable cases,10/3/2020,9/19/2020,Wisconsin,9589,131,2590,131,2721
1-Oct-20,Probable cases,10/2/2020,9/18/2020,Wisconsin,9589,104,2763,104,2867
30-Sep-20,Probable cases,10/1/2020,9/17/2020,Wisconsin,9589,100,2910,100,3010
29-Sep-20,Probable cases,9/30/2020,9/16/2020,Wisconsin,9589,101,2723,101,2824
28-Sep-20,Probable cases,9/29/2020,9/15/2020,Wisconsin,9589,132,3300,132,3432
27-Sep-20,Probable cases,9/28/2020,9/14/2020,Wisconsin,9589,65,1605,65,1670
26-Sep-20,Probable cases,9/27/2020,9/13/2020,Wisconsin,9589,69,1828,69,1897
25-Sep-20,Probable cases,9/26/2020,9/12/2020,Wisconsin,9589,91,2407,91,2498
24-Sep-20,Probable cases,9/25/2020,9/11/2020,Wisconsin,9589,97,2474,97,2571
23-Sep-20,Probable cases,9/24/2020,9/10/2020,Wisconsin,9589,100,3173,100,3273
22-Sep-20,Probable cases,9/23/2020,9/9/2020,Wisconsin,9589,106,2603,106,2709
21-Sep-20,Probable cases,9/22/2020,9/8/2020,Wisconsin,9589,145,2703,145,2848
20-Sep-20,Probable cases,9/21/2020,9/7/2020,Wisconsin,9589,56,1432,56,1488
19-Sep-20,Probable cases,9/20/2020,9/6/2020,Wisconsin,9589,67,1537,67,1604
18-Sep-20,Probable cases,9/19/2020,9/5/2020,Wisconsin,9589,137,1889,137,2026
17-Sep-20,Probable cases,9/18/2020,9/4/2020,Wisconsin,9589,112,2015,112,2127
16-Sep-20,Probable cases,9/17/2020,9/3/2020,Wisconsin,9589,131,2269,131,2400
15-Sep-20,Probable cases,9/16/2020,9/2/2020,Wisconsin,9589,119,2114,119,2233
14-Sep-20,Probable cases,9/15/2020,9/1/2020,Wisconsin,9589,118,2220,118,2338
13-Sep-20,Probable cases,9/14/2020,8/31/2020,Wisconsin,9589,50,1202,50,1252
12-Sep-20,Probable cases,9/13/2020,8/30/2020,Wisconsin,9589,54,1214,54,1268
11-Sep-20,Probable cases,9/12/2020,8/29/2020,Wisconsin,9589,115,1578,115,1693
10-Sep-20,Probable cases,9/11/2020,8/28/2020,Wisconsin,9589,94,1642,94,1736
9-Sep-20,Probable cases,9/10/2020,8/27/2020,Wisconsin,9589,91,1726,91,1817
8-Sep-20,Probable cases,9/9/2020,8/26/2020,Wisconsin,9589,76,1879,76,1955
7-Sep-20,Probable cases,9/8/2020,8/25/2020,Wisconsin,9589,44,1135,44,1179
6-Sep-20,Probable cases,9/7/2020,8/24/2020,Wisconsin,9589,31,844,31,875
5-Sep-20,Probable cases,9/6/2020,8/23/2020,Wisconsin,9589,20,852,20,872
4-Sep-20,Probable cases,9/5/2020,8/22/2020,Wisconsin,9589,58,1056,58,1114
3-Sep-20,Probable cases,9/4/2020,8/21/2020,Wisconsin,9589,54,1047,54,1101
2-Sep-20,Probable cases,9/3/2020,8/20/2020,Wisconsin,9589,51,1048,51,1099
1-Sep-20,Probable cases,9/2/2020,8/19/2020,Wisconsin,9589,37,1161,37,1198
31-Aug-20,Probable cases,9/1/2020,8/18/2020,Wisconsin,9589,32,1066,32,1098
30-Aug-20,Probable cases,8/31/2020,8/17/2020,Wisconsin,9589,14,596,14,610
29-Aug-20,Probable cases,8/30/2020,8/16/2020,Wisconsin,9589,22,578,22,600
28-Aug-20,Probable cases,8/29/2020,8/15/2020,Wisconsin,9589,47,758,47,805
27-Aug-20,Probable cases,8/28/2020,8/14/2020,Wisconsin,9589,31,844,31,875
26-Aug-20,Probable cases,8/27/2020,8/13/2020,Wisconsin,9589,43,841,43,884
25-Aug-20,Probable cases,8/26/2020,8/12/2020,Wisconsin,9589,41,907,41,948
24-Aug-20,Probable cases,8/25/2020,8/11/2020,Wisconsin,9589,23,842,23,865
23-Aug-20,Probable cases,8/24/2020,8/10/2020,Wisconsin,9589,18,515,18,533
22-Aug-20,Probable cases,8/23/2020,8/9/2020,Wisconsin,9589,19,488,19,507
21-Aug-20,Probable cases,8/22/2020,8/8/2020,Wisconsin,9589,37,641,37,678
20-Aug-20,Probable cases,8/21/2020,8/7/2020,Wisconsin,9589,33,609,33,642
19-Aug-20,Probable cases,8/20/2020,8/6/2020,Wisconsin,9589,37,725,37,762
18-Aug-20,Probable cases,8/19/2020,8/5/2020,Wisconsin,9589,30,838,30,868
17-Aug-20,Probable cases,8/18/2020,8/4/2020,Wisconsin,9589,37,742,37,779
16-Aug-20,Probable cases,8/17/2020,8/3/2020,Wisconsin,9589,16,486,16,502
15-Aug-20,Probable cases,8/16/2020,8/2/2020,Wisconsin,9589,21,523,21,544
14-Aug-20,Probable cases,8/15/2020,8/1/2020,Wisconsin,9589,22,623,22,645
13-Aug-20,Probable cases,8/14/2020,7/31/2020,Wisconsin,9589,34,639,34,673
12-Aug-20,Probable cases,8/13/2020,7/30/2020,Wisconsin,9589,33,822,33,855
11-Aug-20,Probable cases,8/12/2020,7/29/2020,Wisconsin,9589,22,854,22,876
10-Aug-20,Probable cases,8/11/2020,7/28/2020,Wisconsin,9589,40,813,40,853
9-Aug-20,Probable cases,8/10/2020,7/27/2020,Wisconsin,9589,16,551,16,567
8-Aug-20,Probable cases,8/9/2020,7/26/2020,Wisconsin,9589,17,542,17,559
7-Aug-20,Probable cases,8/8/2020,7/25/2020,Wisconsin,9589,27,738,27,765
6-Aug-20,Probable cases,8/7/2020,7/24/2020,Wisconsin,9589,32,744,32,776
5-Aug-20,Probable cases,8/6/2020,7/23/2020,Wisconsin,9589,43,899,43,942
4-Aug-20,Probable cases,8/5/2020,7/22/2020,Wisconsin,9589,41,896,41,937
3-Aug-20,Probable cases,8/4/2020,7/21/2020,Wisconsin,9589,30,974,30,1004
2-Aug-20,Probable cases,8/3/2020,7/20/2020,Wisconsin,9589,22,507,22,529
1-Aug-20,Probable cases,8/2/2020,7/19/2020,Wisconsin,9589,22,667,22,689
31-Jul-20,Probable cases,8/1/2020,7/18/2020,Wisconsin,9589,31,736,31,767
30-Jul-20,Probable cases,7/31/2020,7/17/2020,Wisconsin,9589,31,770,31,801
29-Jul-20,Probable cases,7/30/2020,7/16/2020,Wisconsin,9589,30,846,30,876
28-Jul-20,Probable cases,7/29/2020,7/15/2020,Wisconsin,9589,40,926,40,966
27-Jul-20,Probable cases,7/28/2020,7/14/2020,Wisconsin,9589,33,1064,33,1097
26-Jul-20,Probable cases,7/27/2020,7/13/2020,Wisconsin,9589,19,545,19,564
25-Jul-20,Probable cases,7/26/2020,7/12/2020,Wisconsin,9589,23,597,23,620
24-Jul-20,Probable cases,7/25/2020,7/11/2020,Wisconsin,9589,46,768,46,814
23-Jul-20,Probable cases,7/24/2020,7/10/2020,Wisconsin,9589,22,789,22,811
22-Jul-20,Probable cases,7/23/2020,7/9/2020,Wisconsin,9589,47,976,47,1023
21-Jul-20,Probable cases,7/22/2020,7/8/2020,Wisconsin,9589,42,964,42,1006
20-Jul-20,Probable cases,7/21/2020,7/7/2020,Wisconsin,9589,56,1060,56,1116
19-Jul-20,Probable cases,7/20/2020,7/6/2020,Wisconsin,9589,18,582,18,600
18-Jul-20,Probable cases,7/19/2020,7/5/2020,Wisconsin,9589,19,650,19,669
17-Jul-20,Probable cases,7/18/2020,7/4/2020,Wisconsin,9589,60,831,60,891
16-Jul-20,Probable cases,7/17/2020,7/3/2020,Wisconsin,9589,33,934,33,967
15-Jul-20,Probable cases,7/16/2020,7/2/2020,Wisconsin,9589,41,1006,41,1047
14-Jul-20,Probable cases,7/15/2020,7/1/2020,Wisconsin,9589,41,1028,41,1069
13-Jul-20,Probable cases,7/14/2020,6/30/2020,Wisconsin,9589,41,1085,41,1126
12-Jul-20,Probable cases,7/13/2020,6/29/2020,Wisconsin,9589,26,620,26,646
11-Jul-20,Probable cases,7/12/2020,6/28/2020,Wisconsin,9589,15,619,15,634
10-Jul-20,Probable cases,7/11/2020,6/27/2020,Wisconsin,9589,51,815,51,866
9-Jul-20,Probable cases,7/10/2020,6/26/2020,Wisconsin,9589,36,882,36,918
8-Jul-20,Probable cases,7/9/2020,6/25/2020,Wisconsin,9589,35,958,35,993
7-Jul-20,Probable cases,7/8/2020,6/24/2020,Wisconsin,9589,31,992,31,1023
6-Jul-20,Probable cases,7/7/2020,6/23/2020,Wisconsin,9589,40,1002,40,1042
5-Jul-20,Probable cases,7/6/2020,6/22/2020,Wisconsin,9589,18,603,18,621
4-Jul-20,Probable cases,7/5/2020,6/21/2020,Wisconsin,9589,20,435,20,455
3-Jul-20,Probable cases,7/4/2020,6/20/2020,Wisconsin,9589,27,610,27,637
2-Jul-20,Probable cases,7/3/2020,6/19/2020,Wisconsin,9589,38,674,38,712
1-Jul-20,Probable cases,7/2/2020,6/18/2020,Wisconsin,9589,54,813,54,867
30-Jun-20,Probable cases,7/1/2020,6/17/2020,Wisconsin,9589,36,777,36,813
29-Jun-20,Probable cases,6/30/2020,6/16/2020,Wisconsin,9589,35,829,35,864
28-Jun-20,Probable cases,6/29/2020,6/15/2020,Wisconsin,9589,12,436,12,448
27-Jun-20,Probable cases,6/28/2020,6/14/2020,Wisconsin,9589,13,459,13,472
26-Jun-20,Probable cases,6/27/2020,6/13/2020,Wisconsin,9589,35,579,35,614
25-Jun-20,Probable cases,6/26/2020,6/12/2020,Wisconsin,9589,47,594,47,641
24-Jun-20,Probable cases,6/25/2020,6/11/2020,Wisconsin,9589,34,611,34,645
23-Jun-20,Probable cases,6/24/2020,6/10/2020,Wisconsin,9589,38,628,38,666
22-Jun-20,Probable cases,6/23/2020,6/9/2020,Wisconsin,9589,34,630,34,664
21-Jun-20,Probable cases,6/22/2020,6/8/2020,Wisconsin,9589,14,339,14,353
20-Jun-20,Probable cases,6/21/2020,6/7/2020,Wisconsin,9589,23,318,23,341
19-Jun-20,Probable cases,6/20/2020,6/6/2020,Wisconsin,9589,38,389,38,427
18-Jun-20,Probable cases,6/19/2020,6/5/2020,Wisconsin,9589,41,427,41,468
17-Jun-20,Probable cases,6/18/2020,6/4/2020,Wisconsin,9589,34,422,34,456
16-Jun-20,Probable cases,6/17/2020,6/3/2020,Wisconsin,9589,32,386,32,418
15-Jun-20,Probable cases,6/16/2020,6/2/2020,Wisconsin,9589,39,502,39,541
14-Jun-20,Probable cases,6/15/2020,6/1/2020,Wisconsin,9589,18,206,18,224
13-Jun-20,Probable cases,6/14/2020,5/31/2020,Wisconsin,9589,17,217,17,234
12-Jun-20,Probable cases,6/13/2020,5/30/2020,Wisconsin,9589,28,293,28,321
11-Jun-20,Probable cases,6/12/2020,5/29/2020,Wisconsin,9589,42,276,42,318
10-Jun-20,Probable cases,6/11/2020,5/28/2020,Wisconsin,9589,41,334,41,375
9-Jun-20,Probable cases,6/10/2020,5/27/2020,Wisconsin,9589,39,372,39,411
8-Jun-20,Probable cases,6/9/2020,5/26/2020,Wisconsin,9589,21,387,21,408
7-Jun-20,Probable cases,6/8/2020,5/25/2020,Wisconsin,9589,10,201,10,211
6-Jun-20,Probable cases,6/7/2020,5/24/2020,Wisconsin,9589,17,258,17,275
5-Jun-20,Probable cases,6/6/2020,5/23/2020,Wisconsin,9589,31,359,31,390
4-Jun-20,Probable cases,6/5/2020,5/22/2020,Wisconsin,9589,36,345,36,381
3-Jun-20,Probable cases,6/4/2020,5/21/2020,Wisconsin,9589,27,383,27,410
2-Jun-20,Probable cases,6/3/2020,5/20/2020,Wisconsin,9589,24,373,24,397
1-Jun-20,Probable cases,6/2/2020,5/19/2020,Wisconsin,9589,37,462,37,499
31-May-20,Probable cases,6/1/2020,5/18/2020,Wisconsin,9589,11,182,11,193
30-May-20,Probable cases,5/31/2020,5/17/2020,Wisconsin,9589,22,211,22,233
29-May-20,Probable cases,5/30/2020,5/16/2020,Wisconsin,9589,31,383,31,414
28-May-20,Probable cases,5/29/2020,5/15/2020,Wisconsin,9589,28,396,28,424
27-May-20,Probable cases,5/28/2020,5/14/2020,Wisconsin,9589,38,641,38,679
26-May-20,Probable cases,5/27/2020,5/13/2020,Wisconsin,9589,55,539,55,594
25-May-20,Probable cases,5/26/2020,5/12/2020,Wisconsin,9589,25,203,25,228
24-May-20,Probable cases,5/25/2020,5/11/2020,Wisconsin,9589,10,194,10,204
23-May-20,Probable cases,5/24/2020,5/10/2020,Wisconsin,9589,26,282,26,308
22-May-20,Probable cases,5/23/2020,5/9/2020,Wisconsin,9589,34,486,34,520
21-May-20,Probable cases,5/22/2020,5/8/2020,Wisconsin,9589,45,508,45,553
20-May-20,Probable cases,5/21/2020,5/7/2020,Wisconsin,9589,40,577,40,617
19-May-20,Probable cases,5/20/2020,5/6/2020,Wisconsin,9589,36,600,36,636
18-May-20,Probable cases,5/19/2020,5/5/2020,Wisconsin,9589,37,664,37,701
17-May-20,Probable cases,5/18/2020,5/4/2020,Wisconsin,9589,23,248,23,271
