Day of Epi Dt,Measure Names,Prelim end date,Prelim start date,County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
4-Sep-20,Confirmed cases,9/5/2020,8/22/2020,Wisconsin,9589,1056,1056,58,1114
3-Sep-20,Confirmed cases,9/4/2020,8/21/2020,Wisconsin,9589,1047,1047,54,1101
2-Sep-20,Confirmed cases,9/3/2020,8/20/2020,Wisconsin,9589,1048,1048,51,1099
1-Sep-20,Confirmed cases,9/2/2020,8/19/2020,Wisconsin,9589,1161,1161,37,1198
31-Aug-20,Confirmed cases,9/1/2020,8/18/2020,Wisconsin,9589,1066,1066,32,1098
30-Aug-20,Confirmed cases,8/31/2020,8/17/2020,Wisconsin,9589,596,596,14,610
29-Aug-20,Confirmed cases,8/30/2020,8/16/2020,Wisconsin,9589,578,578,22,600
28-Aug-20,Confirmed cases,8/29/2020,8/15/2020,Wisconsin,9589,758,758,47,805
27-Aug-20,Confirmed cases,8/28/2020,8/14/2020,Wisconsin,9589,844,844,31,875
26-Aug-20,Confirmed cases,8/27/2020,8/13/2020,Wisconsin,9589,841,841,43,884
25-Aug-20,Confirmed cases,8/26/2020,8/12/2020,Wisconsin,9589,907,907,41,948
24-Aug-20,Confirmed cases,8/25/2020,8/11/2020,Wisconsin,9589,842,842,23,865
23-Aug-20,Confirmed cases,8/24/2020,8/10/2020,Wisconsin,9589,515,515,18,533
22-Aug-20,Confirmed cases,8/23/2020,8/9/2020,Wisconsin,9589,488,488,19,507
21-Aug-20,Confirmed cases,8/22/2020,8/8/2020,Wisconsin,9589,641,641,37,678
20-Aug-20,Confirmed cases,8/21/2020,8/7/2020,Wisconsin,9589,609,609,33,642
19-Aug-20,Confirmed cases,8/20/2020,8/6/2020,Wisconsin,9589,725,725,37,762
18-Aug-20,Confirmed cases,8/19/2020,8/5/2020,Wisconsin,9589,838,838,30,868
17-Aug-20,Confirmed cases,8/18/2020,8/4/2020,Wisconsin,9589,742,742,37,779
16-Aug-20,Confirmed cases,8/17/2020,8/3/2020,Wisconsin,9589,486,486,16,502
15-Aug-20,Confirmed cases,8/16/2020,8/2/2020,Wisconsin,9589,523,523,21,544
14-Aug-20,Confirmed cases,8/15/2020,8/1/2020,Wisconsin,9589,623,623,22,645
13-Aug-20,Confirmed cases,8/14/2020,7/31/2020,Wisconsin,9589,639,639,34,673
12-Aug-20,Confirmed cases,8/13/2020,7/30/2020,Wisconsin,9589,822,822,33,855
11-Aug-20,Confirmed cases,8/12/2020,7/29/2020,Wisconsin,9589,854,854,22,876
10-Aug-20,Confirmed cases,8/11/2020,7/28/2020,Wisconsin,9589,813,813,40,853
9-Aug-20,Confirmed cases,8/10/2020,7/27/2020,Wisconsin,9589,551,551,16,567
8-Aug-20,Confirmed cases,8/9/2020,7/26/2020,Wisconsin,9589,542,542,17,559
7-Aug-20,Confirmed cases,8/8/2020,7/25/2020,Wisconsin,9589,738,738,27,765
6-Aug-20,Confirmed cases,8/7/2020,7/24/2020,Wisconsin,9589,744,744,32,776
5-Aug-20,Confirmed cases,8/6/2020,7/23/2020,Wisconsin,9589,899,899,43,942
4-Aug-20,Confirmed cases,8/5/2020,7/22/2020,Wisconsin,9589,896,896,41,937
3-Aug-20,Confirmed cases,8/4/2020,7/21/2020,Wisconsin,9589,974,974,30,1004
2-Aug-20,Confirmed cases,8/3/2020,7/20/2020,Wisconsin,9589,507,507,22,529
1-Aug-20,Confirmed cases,8/2/2020,7/19/2020,Wisconsin,9589,667,667,22,689
31-Jul-20,Confirmed cases,8/1/2020,7/18/2020,Wisconsin,9589,736,736,31,767
30-Jul-20,Confirmed cases,7/31/2020,7/17/2020,Wisconsin,9589,770,770,31,801
29-Jul-20,Confirmed cases,7/30/2020,7/16/2020,Wisconsin,9589,846,846,30,876
28-Jul-20,Confirmed cases,7/29/2020,7/15/2020,Wisconsin,9589,926,926,40,966
27-Jul-20,Confirmed cases,7/28/2020,7/14/2020,Wisconsin,9589,1064,1064,33,1097
26-Jul-20,Confirmed cases,7/27/2020,7/13/2020,Wisconsin,9589,545,545,19,564
25-Jul-20,Confirmed cases,7/26/2020,7/12/2020,Wisconsin,9589,597,597,23,620
24-Jul-20,Confirmed cases,7/25/2020,7/11/2020,Wisconsin,9589,768,768,46,814
23-Jul-20,Confirmed cases,7/24/2020,7/10/2020,Wisconsin,9589,789,789,22,811
22-Jul-20,Confirmed cases,7/23/2020,7/9/2020,Wisconsin,9589,976,976,47,1023
21-Jul-20,Confirmed cases,7/22/2020,7/8/2020,Wisconsin,9589,964,964,42,1006
20-Jul-20,Confirmed cases,7/21/2020,7/7/2020,Wisconsin,9589,1060,1060,56,1116
19-Jul-20,Confirmed cases,7/20/2020,7/6/2020,Wisconsin,9589,582,582,18,600
18-Jul-20,Confirmed cases,7/19/2020,7/5/2020,Wisconsin,9589,650,650,19,669
17-Jul-20,Confirmed cases,7/18/2020,7/4/2020,Wisconsin,9589,831,831,60,891
16-Jul-20,Confirmed cases,7/17/2020,7/3/2020,Wisconsin,9589,934,934,33,967
15-Jul-20,Confirmed cases,7/16/2020,7/2/2020,Wisconsin,9589,1006,1006,41,1047
14-Jul-20,Confirmed cases,7/15/2020,7/1/2020,Wisconsin,9589,1028,1028,41,1069
13-Jul-20,Confirmed cases,7/14/2020,6/30/2020,Wisconsin,9589,1085,1085,41,1126
12-Jul-20,Confirmed cases,7/13/2020,6/29/2020,Wisconsin,9589,620,620,26,646
11-Jul-20,Confirmed cases,7/12/2020,6/28/2020,Wisconsin,9589,619,619,15,634
10-Jul-20,Confirmed cases,7/11/2020,6/27/2020,Wisconsin,9589,815,815,51,866
9-Jul-20,Confirmed cases,7/10/2020,6/26/2020,Wisconsin,9589,882,882,36,918
8-Jul-20,Confirmed cases,7/9/2020,6/25/2020,Wisconsin,9589,958,958,35,993
7-Jul-20,Confirmed cases,7/8/2020,6/24/2020,Wisconsin,9589,992,992,31,1023
6-Jul-20,Confirmed cases,7/7/2020,6/23/2020,Wisconsin,9589,1002,1002,40,1042
5-Jul-20,Confirmed cases,7/6/2020,6/22/2020,Wisconsin,9589,603,603,18,621
4-Jul-20,Confirmed cases,7/5/2020,6/21/2020,Wisconsin,9589,435,435,20,455
3-Jul-20,Confirmed cases,7/4/2020,6/20/2020,Wisconsin,9589,610,610,27,637
2-Jul-20,Confirmed cases,7/3/2020,6/19/2020,Wisconsin,9589,674,674,38,712
1-Jul-20,Confirmed cases,7/2/2020,6/18/2020,Wisconsin,9589,813,813,54,867
30-Jun-20,Confirmed cases,7/1/2020,6/17/2020,Wisconsin,9589,777,777,36,813
29-Jun-20,Confirmed cases,6/30/2020,6/16/2020,Wisconsin,9589,829,829,35,864
28-Jun-20,Confirmed cases,6/29/2020,6/15/2020,Wisconsin,9589,436,436,12,448
27-Jun-20,Confirmed cases,6/28/2020,6/14/2020,Wisconsin,9589,459,459,13,472
26-Jun-20,Confirmed cases,6/27/2020,6/13/2020,Wisconsin,9589,579,579,35,614
25-Jun-20,Confirmed cases,6/26/2020,6/12/2020,Wisconsin,9589,594,594,47,641
24-Jun-20,Confirmed cases,6/25/2020,6/11/2020,Wisconsin,9589,611,611,34,645
23-Jun-20,Confirmed cases,6/24/2020,6/10/2020,Wisconsin,9589,628,628,38,666
22-Jun-20,Confirmed cases,6/23/2020,6/9/2020,Wisconsin,9589,630,630,34,664
21-Jun-20,Confirmed cases,6/22/2020,6/8/2020,Wisconsin,9589,339,339,14,353
20-Jun-20,Confirmed cases,6/21/2020,6/7/2020,Wisconsin,9589,318,318,23,341
19-Jun-20,Confirmed cases,6/20/2020,6/6/2020,Wisconsin,9589,389,389,38,427
18-Jun-20,Confirmed cases,6/19/2020,6/5/2020,Wisconsin,9589,427,427,41,468
17-Jun-20,Confirmed cases,6/18/2020,6/4/2020,Wisconsin,9589,422,422,34,456
16-Jun-20,Confirmed cases,6/17/2020,6/3/2020,Wisconsin,9589,386,386,32,418
15-Jun-20,Confirmed cases,6/16/2020,6/2/2020,Wisconsin,9589,502,502,39,541
14-Jun-20,Confirmed cases,6/15/2020,6/1/2020,Wisconsin,9589,206,206,18,224
13-Jun-20,Confirmed cases,6/14/2020,5/31/2020,Wisconsin,9589,217,217,17,234
12-Jun-20,Confirmed cases,6/13/2020,5/30/2020,Wisconsin,9589,293,293,28,321
11-Jun-20,Confirmed cases,6/12/2020,5/29/2020,Wisconsin,9589,276,276,42,318
10-Jun-20,Confirmed cases,6/11/2020,5/28/2020,Wisconsin,9589,334,334,41,375
9-Jun-20,Confirmed cases,6/10/2020,5/27/2020,Wisconsin,9589,372,372,39,411
8-Jun-20,Confirmed cases,6/9/2020,5/26/2020,Wisconsin,9589,387,387,21,408
7-Jun-20,Confirmed cases,6/8/2020,5/25/2020,Wisconsin,9589,201,201,10,211
6-Jun-20,Confirmed cases,6/7/2020,5/24/2020,Wisconsin,9589,258,258,17,275
5-Jun-20,Confirmed cases,6/6/2020,5/23/2020,Wisconsin,9589,359,359,31,390
4-Jun-20,Confirmed cases,6/5/2020,5/22/2020,Wisconsin,9589,345,345,36,381
3-Jun-20,Confirmed cases,6/4/2020,5/21/2020,Wisconsin,9589,383,383,27,410
2-Jun-20,Confirmed cases,6/3/2020,5/20/2020,Wisconsin,9589,373,373,24,397
1-Jun-20,Confirmed cases,6/2/2020,5/19/2020,Wisconsin,9589,462,462,37,499
31-May-20,Confirmed cases,6/1/2020,5/18/2020,Wisconsin,9589,182,182,11,193
30-May-20,Confirmed cases,5/31/2020,5/17/2020,Wisconsin,9589,211,211,22,233
29-May-20,Confirmed cases,5/30/2020,5/16/2020,Wisconsin,9589,383,383,31,414
28-May-20,Confirmed cases,5/29/2020,5/15/2020,Wisconsin,9589,396,396,28,424
27-May-20,Confirmed cases,5/28/2020,5/14/2020,Wisconsin,9589,641,641,38,679
26-May-20,Confirmed cases,5/27/2020,5/13/2020,Wisconsin,9589,539,539,55,594
25-May-20,Confirmed cases,5/26/2020,5/12/2020,Wisconsin,9589,203,203,25,228
24-May-20,Confirmed cases,5/25/2020,5/11/2020,Wisconsin,9589,194,194,10,204
23-May-20,Confirmed cases,5/24/2020,5/10/2020,Wisconsin,9589,282,282,26,308
22-May-20,Confirmed cases,5/23/2020,5/9/2020,Wisconsin,9589,486,486,34,520
21-May-20,Confirmed cases,5/22/2020,5/8/2020,Wisconsin,9589,508,508,45,553
20-May-20,Confirmed cases,5/21/2020,5/7/2020,Wisconsin,9589,577,577,40,617
19-May-20,Confirmed cases,5/20/2020,5/6/2020,Wisconsin,9589,600,600,36,636
18-May-20,Confirmed cases,5/19/2020,5/5/2020,Wisconsin,9589,664,664,37,701
17-May-20,Confirmed cases,5/18/2020,5/4/2020,Wisconsin,9589,248,248,23,271
16-May-20,Confirmed cases,5/17/2020,5/3/2020,Wisconsin,9589,367,367,36,403
15-May-20,Confirmed cases,5/16/2020,5/2/2020,Wisconsin,9589,572,572,56,628
14-May-20,Confirmed cases,5/15/2020,5/1/2020,Wisconsin,9589,515,515,46,561
13-May-20,Confirmed cases,5/14/2020,4/30/2020,Wisconsin,9589,539,539,38,577
12-May-20,Confirmed cases,5/13/2020,4/29/2020,Wisconsin,9589,473,473,42,515
11-May-20,Confirmed cases,5/12/2020,4/28/2020,Wisconsin,9589,509,509,33,542
10-May-20,Confirmed cases,5/11/2020,4/27/2020,Wisconsin,9589,252,252,18,270
9-May-20,Confirmed cases,5/10/2020,4/26/2020,Wisconsin,9589,220,220,26,246
8-May-20,Confirmed cases,5/9/2020,4/25/2020,Wisconsin,9589,362,362,25,387
7-May-20,Confirmed cases,5/8/2020,4/24/2020,Wisconsin,9589,398,398,25,423
6-May-20,Confirmed cases,5/7/2020,4/23/2020,Wisconsin,9589,336,336,34,370
5-May-20,Confirmed cases,5/6/2020,4/22/2020,Wisconsin,9589,339,339,19,358
4-May-20,Confirmed cases,5/5/2020,4/21/2020,Wisconsin,9589,406,406,41,447
3-May-20,Confirmed cases,5/4/2020,4/20/2020,Wisconsin,9589,200,200,9,209
2-May-20,Confirmed cases,5/3/2020,4/19/2020,Wisconsin,9589,232,232,21,253
1-May-20,Confirmed cases,5/2/2020,4/18/2020,Wisconsin,9589,373,373,23,396
30-Apr-20,Confirmed cases,5/1/2020,4/17/2020,Wisconsin,9589,369,369,35,404
29-Apr-20,Confirmed cases,4/30/2020,4/16/2020,Wisconsin,9589,366,366,34,400
28-Apr-20,Confirmed cases,4/29/2020,4/15/2020,Wisconsin,9589,417,417,33,450
27-Apr-20,Confirmed cases,4/28/2020,4/14/2020,Wisconsin,9589,345,345,27,372
26-Apr-20,Confirmed cases,4/27/2020,4/13/2020,Wisconsin,9589,193,193,25,218
25-Apr-20,Confirmed cases,4/26/2020,4/12/2020,Wisconsin,9589,241,241,18,259
24-Apr-20,Confirmed cases,4/25/2020,4/11/2020,Wisconsin,9589,399,399,41,440
23-Apr-20,Confirmed cases,4/24/2020,4/10/2020,Wisconsin,9589,252,252,24,276
22-Apr-20,Confirmed cases,4/23/2020,4/9/2020,Wisconsin,9589,283,283,36,319
21-Apr-20,Confirmed cases,4/22/2020,4/8/2020,Wisconsin,9589,265,265,34,299
20-Apr-20,Confirmed cases,4/21/2020,4/7/2020,Wisconsin,9589,332,332,28,360
19-Apr-20,Confirmed cases,4/20/2020,4/6/2020,Wisconsin,9589,208,208,21,229
18-Apr-20,Confirmed cases,4/19/2020,4/5/2020,Wisconsin,9589,244,244,16,260
17-Apr-20,Confirmed cases,4/18/2020,4/4/2020,Wisconsin,9589,263,263,32,295
16-Apr-20,Confirmed cases,4/17/2020,4/3/2020,Wisconsin,9589,204,204,28,232
15-Apr-20,Confirmed cases,4/16/2020,4/2/2020,Wisconsin,9589,179,179,29,208
14-Apr-20,Confirmed cases,4/15/2020,4/1/2020,Wisconsin,9589,246,246,14,260
13-Apr-20,Confirmed cases,4/14/2020,3/31/2020,Wisconsin,9589,240,240,28,268
12-Apr-20,Confirmed cases,4/13/2020,3/30/2020,Wisconsin,9589,128,128,26,154
11-Apr-20,Confirmed cases,4/12/2020,3/29/2020,Wisconsin,9589,137,137,23,160
10-Apr-20,Confirmed cases,4/11/2020,3/28/2020,Wisconsin,9589,192,192,20,212
9-Apr-20,Confirmed cases,4/10/2020,3/27/2020,Wisconsin,9589,148,148,25,173
8-Apr-20,Confirmed cases,4/9/2020,3/26/2020,Wisconsin,9589,131,131,30,161
7-Apr-20,Confirmed cases,4/8/2020,3/25/2020,Wisconsin,9589,132,132,26,158
6-Apr-20,Confirmed cases,4/7/2020,3/24/2020,Wisconsin,9589,199,199,39,238
5-Apr-20,Confirmed cases,4/6/2020,3/23/2020,Wisconsin,9589,102,102,26,128
4-Apr-20,Confirmed cases,4/5/2020,3/22/2020,Wisconsin,9589,132,132,25,157
3-Apr-20,Confirmed cases,4/4/2020,3/21/2020,Wisconsin,9589,195,195,40,235
2-Apr-20,Confirmed cases,4/3/2020,3/20/2020,Wisconsin,9589,148,148,34,182
1-Apr-20,Confirmed cases,4/2/2020,3/19/2020,Wisconsin,9589,163,163,45,208
31-Mar-20,Confirmed cases,4/1/2020,3/18/2020,Wisconsin,9589,134,134,28,162
30-Mar-20,Confirmed cases,3/31/2020,3/17/2020,Wisconsin,9589,160,160,27,187
29-Mar-20,Confirmed cases,3/30/2020,3/16/2020,Wisconsin,9589,114,114,30,144
28-Mar-20,Confirmed cases,3/29/2020,3/15/2020,Wisconsin,9589,122,122,24,146
27-Mar-20,Confirmed cases,3/28/2020,3/14/2020,Wisconsin,9589,162,162,21,183
26-Mar-20,Confirmed cases,3/27/2020,3/13/2020,Wisconsin,9589,161,161,29,190
25-Mar-20,Confirmed cases,3/26/2020,3/12/2020,Wisconsin,9589,193,193,25,218
24-Mar-20,Confirmed cases,3/25/2020,3/11/2020,Wisconsin,9589,131,131,23,154
23-Mar-20,Confirmed cases,3/24/2020,3/10/2020,Wisconsin,9589,172,172,31,203
22-Mar-20,Confirmed cases,3/23/2020,3/9/2020,Wisconsin,9589,111,111,22,133
21-Mar-20,Confirmed cases,3/22/2020,3/8/2020,Wisconsin,9589,123,123,23,146
20-Mar-20,Confirmed cases,3/21/2020,3/7/2020,Wisconsin,9589,142,142,20,162
19-Mar-20,Confirmed cases,3/20/2020,3/6/2020,Wisconsin,9589,130,130,33,163
18-Mar-20,Confirmed cases,3/19/2020,3/5/2020,Wisconsin,9589,151,151,27,178
17-Mar-20,Confirmed cases,3/18/2020,3/4/2020,Wisconsin,9589,178,178,25,203
16-Mar-20,Confirmed cases,3/17/2020,3/3/2020,Wisconsin,9589,147,147,13,160
15-Mar-20,Confirmed cases,3/16/2020,3/2/2020,Wisconsin,9589,112,112,10,122
14-Mar-20,Confirmed cases,3/15/2020,3/1/2020,Wisconsin,9589,93,93,8,101
13-Mar-20,Confirmed cases,3/14/2020,2/29/2020,Wisconsin,9589,76,76,2,78
12-Mar-20,Confirmed cases,3/13/2020,2/28/2020,Wisconsin,9589,61,61,6,67
11-Mar-20,Confirmed cases,3/12/2020,2/27/2020,Wisconsin,9589,46,46,5,51
10-Mar-20,Confirmed cases,3/11/2020,2/26/2020,Wisconsin,9589,35,35,1,36
9-Mar-20,Confirmed cases,3/10/2020,2/25/2020,Wisconsin,9589,22,22,5,27
8-Mar-20,Confirmed cases,3/9/2020,2/24/2020,Wisconsin,9589,17,17,2,19
7-Mar-20,Confirmed cases,3/8/2020,2/23/2020,Wisconsin,9589,6,6,1,7
6-Mar-20,Confirmed cases,3/7/2020,2/22/2020,Wisconsin,9589,14,14,2,16
5-Mar-20,Confirmed cases,3/6/2020,2/21/2020,Wisconsin,9589,5,5,0,5
4-Mar-20,Confirmed cases,3/5/2020,2/20/2020,Wisconsin,9589,13,13,0,13
3-Mar-20,Confirmed cases,3/4/2020,2/19/2020,Wisconsin,9589,5,5,1,6
2-Mar-20,Confirmed cases,3/3/2020,2/18/2020,Wisconsin,9589,9,9,0,9
1-Mar-20,Confirmed cases,3/2/2020,2/17/2020,Wisconsin,9589,6,6,1,7
29-Feb-20,Confirmed cases,3/1/2020,2/16/2020,Wisconsin,9589,2,2,0,2
28-Feb-20,Confirmed cases,2/29/2020,2/15/2020,Wisconsin,9589,4,4,0,4
27-Feb-20,Confirmed cases,2/28/2020,2/14/2020,Wisconsin,9589,1,1,0,1
26-Feb-20,Confirmed cases,2/27/2020,2/13/2020,Wisconsin,9589,1,1,0,1
25-Feb-20,Confirmed cases,2/26/2020,2/12/2020,Wisconsin,9589,1,1,0,1
24-Feb-20,Confirmed cases,2/25/2020,2/11/2020,Wisconsin,9589,1,1,0,1
23-Feb-20,Confirmed cases,2/24/2020,2/10/2020,Wisconsin,9589,0,0,0,0
22-Feb-20,Confirmed cases,2/23/2020,2/9/2020,Wisconsin,9589,0,0,0,0
21-Feb-20,Confirmed cases,2/22/2020,2/8/2020,Wisconsin,9589,1,1,0,1
20-Feb-20,Confirmed cases,2/21/2020,2/7/2020,Wisconsin,9589,0,0,0,0
19-Feb-20,Confirmed cases,2/20/2020,2/6/2020,Wisconsin,9589,0,0,0,0
18-Feb-20,Confirmed cases,2/19/2020,2/5/2020,Wisconsin,9589,0,0,0,0
17-Feb-20,Confirmed cases,2/18/2020,2/4/2020,Wisconsin,9589,0,0,0,0
16-Feb-20,Confirmed cases,2/17/2020,2/3/2020,Wisconsin,9589,0,0,0,0
15-Feb-20,Confirmed cases,2/16/2020,2/2/2020,Wisconsin,9589,0,0,0,0
14-Feb-20,Confirmed cases,2/15/2020,2/1/2020,Wisconsin,9589,0,0,0,0
13-Feb-20,Confirmed cases,2/14/2020,1/31/2020,Wisconsin,9589,0,0,0,0
12-Feb-20,Confirmed cases,2/13/2020,1/30/2020,Wisconsin,9589,0,0,0,0
11-Feb-20,Confirmed cases,2/12/2020,1/29/2020,Wisconsin,9589,0,0,0,0
10-Feb-20,Confirmed cases,2/11/2020,1/28/2020,Wisconsin,9589,0,0,0,0
9-Feb-20,Confirmed cases,2/10/2020,1/27/2020,Wisconsin,9589,0,0,0,0
8-Feb-20,Confirmed cases,2/9/2020,1/26/2020,Wisconsin,9589,0,0,0,0
7-Feb-20,Confirmed cases,2/8/2020,1/25/2020,Wisconsin,9589,0,0,0,0
6-Feb-20,Confirmed cases,2/7/2020,1/24/2020,Wisconsin,9589,0,0,0,0
5-Feb-20,Confirmed cases,2/6/2020,1/23/2020,Wisconsin,9589,0,0,0,0
4-Feb-20,Confirmed cases,2/5/2020,1/22/2020,Wisconsin,9589,0,0,0,0
3-Feb-20,Confirmed cases,2/4/2020,1/21/2020,Wisconsin,9589,0,0,0,0
2-Feb-20,Confirmed cases,2/3/2020,1/20/2020,Wisconsin,9589,0,0,0,0
1-Feb-20,Confirmed cases,2/2/2020,1/19/2020,Wisconsin,9589,0,0,0,0
31-Jan-20,Confirmed cases,2/1/2020,1/18/2020,Wisconsin,9589,0,0,0,0
30-Jan-20,Confirmed cases,1/31/2020,1/17/2020,Wisconsin,9589,0,0,0,0
29-Jan-20,Confirmed cases,1/30/2020,1/16/2020,Wisconsin,9589,1,1,0,1
28-Jan-20,Confirmed cases,1/29/2020,1/15/2020,Wisconsin,9589,0,0,0,0
27-Jan-20,Confirmed cases,1/28/2020,1/14/2020,Wisconsin,9589,0,0,0,0
26-Jan-20,Confirmed cases,1/27/2020,1/13/2020,Wisconsin,9589,0,0,0,0
25-Jan-20,Confirmed cases,1/26/2020,1/12/2020,Wisconsin,9589,0,0,0,0
24-Jan-20,Confirmed cases,1/25/2020,1/11/2020,Wisconsin,9589,0,0,0,0
23-Jan-20,Confirmed cases,1/24/2020,1/10/2020,Wisconsin,9589,0,0,0,0
22-Jan-20,Confirmed cases,1/23/2020,1/9/2020,Wisconsin,9589,0,0,0,0
